Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
1978206;4.9125;45.67055555555555;"45°40'14.000""N 4°54'45.000""E";69273;"";"RUE DE SAVOIE PARC D'ACTIVITÉ";69960;CORBAS;Pylône tubulaire;15.0;TOTEM
2002497;4.771111111111111;45.639722222222225;"45°38'23.000""N 4°46'16.000""E";69133;BOIS DU RAVE;R DE FLIGNON;69390;MILLERY;Pylône autostable;35.0;RTE
2022146;5.159722222222222;45.53527777777778;"45°32'7.000""N 5°9'35.000""E";38015;GUINIÈRE;RTE DE ST JEAN DE BOURNAY D 126;38440;ARTAS;Pylône autostable;30.0;TDF
2033150;4.535277777777778;45.48166666666667;"45°28'54.000""N 4°32'7.000""E";42110;"";CHEMIN DE LA MALADIÈRE;42152;HORME;Pylône autostable;12.0;TOTEM
2033603;4.357222222222222;45.39833333333333;"45°23'54.000""N 4°21'26.000""E";42183;"";43 RUE JEAN JAURÈS;42150;RICAMARIE;Bâtiment;20.0;Particulier
2033735;5.169444444444444;45.620555555555555;"45°37'14.000""N 5°10'10.000""E";38530;"";"CHEM DES DONCHERES PARC D'ACTIVITÉ MUSSIAT EST";38090;VAULX MILIEU;Pylône tubulaire;18.0;TOTEM
2038476;4.391944444444444;45.4775;"45°28'39.000""N 4°23'31.000""E";42311;"";CHE DU CRÊT;42580;TOUR EN JAREZ;Pylône autostable;24.0;BOUYGUES
2043528;4.332222222222223;45.401666666666664;"45°24'6.000""N 4°19'56.000""E";42044;ANGELIN;VC N°114;42500;CHAMBON FEUGEROLLES;Pylône autostable;27.0;Société Privée
2058290;4.92;45.391666666666666;"45°23'30.000""N 4°55'12.000""E";38077;"";CHEMIN DU CLOS;38150;CHAPELLE DE SURIEU;Pylône autostable;37.0;Conseil Départemental
2078759;4.396944444444444;45.44638888888889;"45°26'47.000""N 4°23'49.000""E";42218;"";52 BD JULES JANIN;42000;SAINT ETIENNE;Immeuble;34.7;Société HLM
2086040;3.942222222222222;45.62166666666667;"45°37'18.000""N 3°56'32.000""E";42188;LA PETITE MARECHE;"";42600;ROCHE;Pylône autostable;36.3;Conseil Régional
2146876;4.781388888888889;45.675;"45°40'30.000""N 4°46'53.000""E";69204;"";50 AV CHANOINE CARTELLIER;69230;SAINT GENIS LAVAL;Immeuble;14.0;"Copropriété, Syndic, SCI"
2154436;4.22;45.323055555555555;"45°19'23.000""N 4°13'12.000""E";43058;LA FORET;"";43120;CHAPELLE D AUREC;Pylône autostable;31.0;ATC FRANCE
2155013;4.091111111111111;45.60138888888889;"45°36'5.000""N 4°5'28.000""E";42147;"";"RUE DE L'AGRICULTURE SOCIÉTÉ BECKER";42600;MONTBRISON;Pylône autostable;20.4;ATC FRANCE
2175350;4.660277777777778;45.58972222222222;"45°35'23.000""N 4°39'37.000""E";69228;BELLEVUE;D 2;69440;CHABANIERE;Pylône autostable;18.0;TOTEM
2175372;4.72;45.54527777777778;"45°32'43.000""N 4°43'12.000""E";69080;MAUPERTUIS;ROUTE DE JANNORAY;69700;ECHALAS;Pylône autostable;30.0;ATC FRANCE
2180972;4.5575;45.65222222222222;"45°39'8.000""N 4°33'27.000""E";69227;HAMEAU DES PLAINES;IMPRIMERIE IML;69850;SAINT MARTIN EN HAUT;Pylône autostable;21.0;TOTEM
2186569;4.646111111111111;45.48888888888889;"45°29'20.000""N 4°38'46.000""E";42210;CHAMP DU PEU;"";42800;SAINTE CROIX EN JAREZ;Pylône autostable;30.0;TDF
2186576;4.580277777777778;45.52055555555555;"45°31'14.000""N 4°34'49.000""E";42225;LA CROIX DE LA CHAIRE;"CHEMIN DU CREST DE L'ISLE";42800;GENILAC;Pylône autostable;29.3;TOTEM
2199186;4.285555555555556;45.473055555555554;"45°28'23.000""N 4°17'8.000""E";42279;"PIC D'ETRAT";"";42170;SAINT JUST SAINT RAMBERT;Pylône autostable;9.0;ATC FRANCE
2199194;4.161944444444444;45.51277777777778;"45°30'46.000""N 4°9'43.000""E";42256;ROZET;"";42680;SAINT MARCELLIN EN FOREZ;Pylône autostable;24.0;TOTEM
2211425;4.364444444444445;45.478611111111114;"45°28'43.000""N 4°21'52.000""E";42275;"";79-81 AV ALBERT RAIMOND MAISON DE RETRAITE LE CLOS CHAMPIROL;42270;SAINT PRIEST EN JAREZ;Bâtiment;17.0;Société Privée
2225583;4.270833333333333;45.450833333333335;"45°27'3.000""N 4°16'15.000""E";42218;LES CONDAMINES;RUE DU BRÉAT;42000;SAINT ETIENNE;Pylône autostable;15.0;TOTEM
2228537;4.906666666666666;45.53194444444444;"45°31'55.000""N 4°54'24.000""E";38318;"";36 CHEMIN  GILBERT OLLIER;38780;PONT EVEQUE;Bâtiment;27.0;"Copropriété, Syndic, SCI"
2234175;4.683611111111111;45.556666666666665;"45°33'24.000""N 4°41'1.000""E";42083;LA ROCHE TROUÉE;"IMPASSE DE L'ECLUSE";42800;DARGOIRE;Pylône autostable;12.0;TOTEM
2235482;3.863888888888889;45.57138888888889;"45°34'17.000""N 3°51'50.000""E";63319;JASSERIES DE VIALLEVIEILLE;STATION - MONTAGNE DE VIALLEVEVIEILLE;63660;SAINT ANTHEME;Pylône autostable;32.3;BOUYGUES
2246424;4.290277777777778;45.51916666666666;"45°31'9.000""N 4°17'25.000""E";42097;LE BAS-ROLLET;ALLEE DES PERROTINS D498;42480;FOUILLOUSE;Pylône autostable;13.0;ATC FRANCE
2263202;3.992777777777778;45.61888888888889;"45°37'8.000""N 3°59'34.000""E";42089;ARCY;LE PIC DE LA ROUE;42600;ESSERTINES EN CHATELNEUF;Pylône autostable;15.0;TOTEM
2282949;3.785;45.659444444444446;"45°39'34.000""N 3°47'6.000""E";63179;LES GRANGES;"";63990;JOB;Pylône autostable;36.0;SFR
2289934;4.8149999999999995;45.3875;"45°23'15.000""N 4°48'54.000""E";38344;EN LOUZE;CHEM DES MARCHES;38150;ROUSSILLON;"Château d'eau - réservoir";29.0;"Syndicat des eaux, Adduction"
2298813;4.942777777777778;45.431666666666665;"45°25'54.000""N 4°56'34.000""E";38244;"";100 CHEMIN DES HAIES;38122;MONSTEROUX MILIEU;Pylône autostable;24.0;SFR
2300620;3.9430555555555555;45.59583333333333;"45°35'45.000""N 3°56'35.000""E";42121;"";JEAN FAURE;42600;LERIGNEUX;Pylône autostable;20.8;BOUYGUES
2301811;4.886111111111111;45.444722222222225;"45°26'41.000""N 4°53'10.000""E";38131;HAMEAU DE ST MAMERT LE HAUT;"";38138;COTES D AREY;Pylône autostable;30.0;TOTEM
2301827;4.819444444444445;45.42527777777778;"45°25'31.000""N 4°49'10.000""E";38019;LA TOUR;"2 W RUE DE L'ARGENTIÈRE À COTÉ DU CIMETIÈRE";38550;AUBERIVES SUR VAREZE;Pylône autostable;22.0;TOTEM
2301831;4.703055555555555;45.65888888888889;"45°39'32.000""N 4°42'11.000""E";69148;RIVOIRE;ROUTE DE RIVOIRE;69530;ORLIENAS;Pylône autostable;19.0;ORANGE
2301839;4.695277777777778;45.6425;"45°38'33.000""N 4°41'43.000""E";69219;CROIZETTE;ROUTE DE PRAPIN RD105- CIMETIÈRE;69440;SAINT LAURENT D AGNY;Pylône autostable;20.0;TOTEM
2308380;4.804166666666667;45.63055555555555;"45°37'50.000""N 4°48'15.000""E";69133;"";CHEMIN DE LA TOUR DE MILLERY;69390;MILLERY;Pylône autostable;25.0;SNCF
2310216;4.958333333333333;45.511944444444445;"45°30'43.000""N 4°57'30.000""E";38157;"";AVENUE PORTE DES ALPES - D502;38780;ESTRABLIN;Pylône autostable;24.0;ATC FRANCE
2319833;4.2775;45.51;"45°30'36.000""N 4°16'39.000""E";42279;LA GARE;RUE SAINT ANTHÈME;42170;SAINT JUST SAINT RAMBERT;Pylône autostable;36.0;ATC FRANCE
2324677;4.7411111111111115;45.51722222222222;"45°31'2.000""N 4°44'28.000""E";69097;"";CHEMIN DE LA MADONE BARONIERE NORD;69420;HAIES;Pylône autostable;24.2;BOUYGUES
2331143;3.9702777777777776;45.534166666666664;"45°32'3.000""N 3°58'13.000""E";42107;BOIS DU FAURE;ROUTE LE ROYET;42560;GUMIERES;Pylône autostable;33.0;BOUYGUES
2343839;5.043611111111111;45.460277777777776;"45°27'37.000""N 5°2'37.000""E";38232;"";IMPASSE DU PINAY;38440;MEYSSIEZ;Pylône tubulaire;11.0;SNCF
2381292;4.36;45.448055555555555;"45°26'53.000""N 4°21'36.000""E";42218;"";49A R NOËL BLACET 1 R CHARLES LONGUET;42000;SAINT ETIENNE;Immeuble;27.0;Société HLM
2386590;3.995277777777778;45.54055555555556;"45°32'26.000""N 3°59'43.000""E";42058;"";ROUTE DE FORTUNIERE;42560;CHAZELLES SUR LAVIEU;Pylône autostable;32.9;BOUYGUES
2390147;4.851111111111111;45.47694444444444;"45°28'37.000""N 4°51'4.000""E";38336;"";CHEMIN DES CHASSEURS;38121;REVENTIN VAUGRIS;Pylône autostable;27.0;CELLNEX
2451685;4.198611111111111;45.57833333333333;"45°34'42.000""N 4°11'55.000""E";42108;GRANGENEUVE;"";42210;HOPITAL LE GRAND;Pylône autostable;35.0;TOTEM
2462819;4.258333333333334;45.64194444444445;"45°38'31.000""N 4°15'30.000""E";42200;LES VARENNES;"";42210;SAINT ANDRE LE PUY;Pylône autostable;30.0;TOTEM
2464333;4.1258333333333335;45.555277777777775;"45°33'19.000""N 4°7'33.000""E";42285;"";6 PLACE JB CHAVASSIEU EGLISE;42610;SAINT ROMAIN LE PUY;Monument religieux;25.1;"Commune, communauté de commune"
2479983;4.522777777777778;45.596666666666664;"45°35'48.000""N 4°31'22.000""E";69110;LE CRÊT;LOT. LES MARTINIÈRES  D 97;69590;LARAJASSE;Pylône autostable;18.0;ATC FRANCE
2490554;4.626944444444445;45.52972222222222;"45°31'47.000""N 4°37'37.000""E";42186;"";1 CHE DE LA LIMARRIERE;42800;RIVE DE GIER;Tunnel;12.1;SNCF
2495892;4.465833333333333;45.435833333333335;"45°26'9.000""N 4°27'57.000""E";42207;LA GAMOTTE;CHEMIN DE PANGUET;42400;SAINT CHAMOND;Pylône tubulaire;27.0;CELLNEX
2509893;4.878333333333334;45.47388888888889;"45°28'26.000""N 4°52'42.000""E";38131;LE BISSEY;"";38138;COTES D AREY;Pylône autostable;39.0;FREE-MOBILE
2511072;4.904166666666667;45.41222222222222;"45°24'44.000""N 4°54'15.000""E";38017;MAURE;CHEMIN DES MAURE;38150;ASSIEU;Pylône autostable;24.0;ATC FRANCE
2512762;5.142222222222222;45.57388888888889;"45°34'26.000""N 5°8'32.000""E";38339;MONTCHATAIN;IMPASSE DES COMBETTES;38090;ROCHE;"Château d'eau - réservoir";24.0;"Syndicat des eaux, Adduction"
2516292;4.603888888888889;45.62583333333333;"45°37'33.000""N 4°36'14.000""E";69180;LE RAMPEAU;CHEMIN DE GAGNE BONNET;69440;SAINT ANDRE LA COTE;Pylône autostable;26.7;PHOENIX FRANCE INFRASTRUCTURES
2522147;5.135833333333333;45.37166666666667;"45°22'18.000""N 5°8'9.000""E";38291;LES BLACHES;"";38260;PAJAY;Pylône autostable;39.0;TDF
2529400;5.038055555555555;45.5175;"45°31'3.000""N 5°2'17.000""E";38238;GARENNES ET RIVIERES;ROUTE DU VERNEA;38440;MOIDIEU DETOURBE;Pylône autostable;38.0;"Etat, Ministère"
2532685;4.811388888888889;45.67055555555555;"45°40'14.000""N 4°48'41.000""E";69100;CHAMPVILLARD;33 CHEMIN DE CHAMPVILLARD;69540;IRIGNY;Pylône autostable;35.0;TDF
2577930;3.9769444444444444;45.426944444444445;"45°25'37.000""N 3°58'37.000""E";42006;POMMEROL;PROCHE ROUTE DU CROZET;42550;APINAC;Pylône autostable;32.0;PHOENIX FRANCE INFRASTRUCTURES
2585954;4.054166666666666;45.63527777777778;"45°38'7.000""N 4°3'15.000""E";42046;TOURNEL;RTE DE MONTBRISSON TOURNEL;42600;CHAMPDIEU;Pylône autostable;24.1;ORANGE
