Numÿro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriÿtaire
2185890;6.188888888888889;48.6975;"48ÿ41'51.000""N 6ÿ11'20.000""E";54395;"";RESIDENCE LA PEPINIERE 30-32 BOULEVARD DU 26EME REGIMENT INFRANTERIE;54000;NANCY;Immeuble;24.3;"Copropriÿtÿ, Syndic, SCI"
2189406;6.232222222222222;48.70666666666666;"48ÿ42'24.000""N 6ÿ13'56.000""E";54184;"";2 RUE HAYOTTE;54270;ESSEY LES NANCY;Immeuble;15.0;"Copropriÿtÿ, Syndic, SCI"
2211721;6.16;48.748333333333335;"48ÿ44'54.000""N 6ÿ9'36.000""E";54090;ZI LES PAQUIS;CHEMIN DU PAQUIS VOIE EXPRESS BANLIEUE E;54136;BOUXIERES AUX DAMES;Pylÿne autostable;33.0;ORANGE
2230532;6.210277777777778;48.69888888888889;"48ÿ41'56.000""N 6ÿ12'37.000""E";54482;"";9 R JEAN XXIII;54130;SAINT MAX;Immeuble;23.5;"Copropriÿtÿ, Syndic, SCI"
2273101;6.180833333333333;48.68833333333333;"48ÿ41'18.000""N 6ÿ10'51.000""E";54395;"";CENTRE COMMERCIAL SAINT SEBASTIEN;54000;NANCY;Bÿtiment;14.8;Sociÿtÿ Privÿe SA
2306457;6.177222222222222;48.75055555555556;"48ÿ45'2.000""N 6ÿ10'38.000""E";54305;LES CORVEES;CHEMIN DE LA QUETSCHE;54690;LAY SAINT CHRISTOPHE;Pylÿne autostable;32.4;ON TOWER FRANCE
2404922;6.129444444444444;48.76305555555555;"48ÿ45'47.000""N 6ÿ7'46.000""E";54215;"";5 RUE DU MARECHAL LECLERC;54390;FROUARD;Pylÿne autostable;33.0;CELLNEX
2438398;6.166388888888889;48.727222222222224;"48ÿ43'38.000""N 6ÿ9'59.000""E";54115;"";RUE DU PRESIDENT;54250;CHAMPIGNEULLES;Pylÿne autostable;46.0;BOUYGUES
2455708;6.209722222222222;48.66722222222222;"48ÿ40'2.000""N 6ÿ12'35.000""E";54274;"";130 RUE DE LA REPUBLIQUE D400;54140;JARVILLE LA MALGRANGE;Immeuble;31.7;"Copropriÿtÿ, Syndic, SCI"
2481697;6.190833333333333;48.70027777777778;"48ÿ42'1.000""N 6ÿ11'27.000""E";54395;"";RUE ABBÿ LÿMIRE;54000;NANCY;Bÿtiment;29.0;"Commune, communautÿ de commune"
2506444;6.195;48.68972222222222;"48ÿ41'23.000""N 6ÿ11'42.000""E";54395;"";RUE CHARLES III;54000;NANCY;Bÿtiment;35.0;SFR
2551906;6.1825;48.620555555555555;"48ÿ37'14.000""N 6ÿ10'57.000""E";54328;"";407 RUE GEORGES CHARPAK;54710;LUDRES;Pylÿne tubulaire;25.3;FREE-MOBILE
2552909;6.169722222222222;48.74027777777778;"48ÿ44'25.000""N 6ÿ10'11.000""E";54115;LES SABLES;RUE GABRIEL BOUR D40;54250;CHAMPIGNEULLES;Pylÿne autostable;26.9;FREE-MOBILE
2552911;6.139166666666666;48.60916666666667;"48ÿ36'33.000""N 6ÿ8'21.000""E";54366;"";RUE DES PAQUIS D115;54850;MESSEIN;Pylÿne autostable;32.6;TDF
2623332;6.166666666666667;48.70166666666667;"48ÿ42'6.000""N 6ÿ10'0.000""E";54395;"";12-14 RUE DE LIÿGE;54000;NANCY;Immeuble;21.0;"Copropriÿtÿ, Syndic, SCI"
2738533;6.248333333333333;48.708333333333336;"48ÿ42'30.000""N 6ÿ14'54.000""E";54184;"";18/20 R DES TARBES;54270;ESSEY LES NANCY;Pylÿne tubulaire;31.0;ON TOWER FRANCE
2770525;6.202222222222222;48.67138888888889;"48ÿ40'17.000""N 6ÿ12'8.000""E";54274;LA BELLE CROIX;SQUARE LOUIS MARIN;54140;JARVILLE LA MALGRANGE;Immeuble;18.6;Sociÿtÿ HLM
2809857;6.2780555555555555;48.72083333333333;"48ÿ43'15.000""N 6ÿ16'41.000""E";54296;LES SABLONS;CHEMIN DE LA HAIE CERLIN;54280;LANEUVELOTTE;Pylÿne autostable;36.0;TOTEM
