Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
763635;5.37;43.29638888888889;"43°17'47.000""N 5°22'12.000""E";13202;"";R DE LA LOGE MAIRIE;13002;MARSEILLE 2E ARRONDISSEMENT;Bâtiment;24.0;"Commune, communauté de commune"
766801;5.41;43.355555555555554;"43°21'20.000""N 5°24'36.000""E";13214;"";R MISSIRRI;13014;MARSEILLE 14E ARRONDISSEMENT;Pylône tubulaire;12.0;TOTEM
767386;5.921944444444445;43.404444444444444;"43°24'16.000""N 5°55'19.000""E";83140;NOTRE DAME DE LA CHAPELLE;CHEM COMMUNAL NOTRE DAME;83170;TOURVES;Monument religieux;18.0;"Commune, communauté de commune"
768812;5.255277777777778;43.42722222222222;"43°25'38.000""N 5°15'19.000""E";13117;"";ZI LES ESTROUBLANS - N°9 - 5ÈME RUE FRANCE TÉLÉCOM;13127;VITROLLES;Pylône autostable;12.0;TOTEM
793223;5.52;43.309444444444445;"43°18'34.000""N 5°31'12.000""E";13211;LES CHÊNES;IMP DES CHÊNES FOYER LES CHÊNES PYLÔNE SFR;13011;MARSEILLE 11E ARRONDISSEMENT;Pylône tubulaire;12.0;HIVORY
804644;5.614722222222222;43.19083333333333;"43°11'27.000""N 5°36'53.000""E";13028;LA PLAINE;AVENUE DE LA MÉDITERRANÉE;13600;CIOTAT;Bâtiment;18.0;ORANGE Services Fixes
817158;5.841666666666667;43.42333333333333;"43°25'24.000""N 5°50'30.000""E";83116;LA VILLONE;ROUTE DE MARSEILLE RN 560;83470;SAINT MAXIMIN LA SAINTE BAUME;Pylône autostable;12.0;TOTEM
818229;5.916111111111111;43.172222222222224;"43°10'20.000""N 5°54'58.000""E";83103;LA SALVATTE;QUARTIER MALVALLON CHEM NOTRE DAME;83200;REVEST LES EAUX;Pylône tubulaire;13.0;ORANGE
818233;5.763888888888889;43.20305555555556;"43°12'11.000""N 5°45'50.000""E";83035;LA PINEDE;"";83330;CASTELLET;Pylône tubulaire;12.0;TOTEM
818704;5.798333333333334;43.19277777777778;"43°11'34.000""N 5°47'54.000""E";83016;"";858 CHEM DE ROUVE MAS PAGNI;83330;BEAUSSET;pylône arbre;6.5;TOTEM
825344;5.332777777777777;43.36555555555555;"43°21'56.000""N 5°19'58.000""E";13216;"";AUTOROUTE DU LITTORAL  - A55 AIRE DE REPOS ST HENRI;13016;MARSEILLE 16E ARRONDISSEMENT;Pylône tubulaire;14.0;HIVORY
827588;5.26;43.43527777777778;"43°26'7.000""N 5°15'36.000""E";13117;"";50 AV DENIS PADOVANI;13127;VITROLLES;Immeuble;22.0;Société Privée
827632;5.368888888888889;43.39472222222222;"43°23'41.000""N 5°22'8.000""E";13106;"";CHEM DU VALLON DU MAIRE CHEMÉE;13240;SEPTEMES LES VALLONS;Bâtiment;45.0;"Commune, communauté de commune"
827656;5.476388888888889;43.35138888888889;"43°21'5.000""N 5°28'35.000""E";13075;"";"1 R DE L'HERMITAGE";13380;PLAN DE CUQUES;Pylône tubulaire;13.0;TOTEM
834327;5.352222222222222;43.37138888888889;"43°22'17.000""N 5°21'8.000""E";13215;"";21 CHEM DES TUILERIES;13015;MARSEILLE 15E ARRONDISSEMENT;Pylône tubulaire;21.0;TOTEM
