Numéro de mesure;Service;Bande;Niveau mesuré;Niveau extrapolé
170546;DECT (Téléphone domestique);1880-1900;"";""
170549;DECT (Téléphone domestique);1880-1900;0.01;""
170557;DECT (Téléphone domestique);1880-1900;0.13;""
170581;DECT (Téléphone domestique);1880-1900;"";""
170656;DECT (Téléphone domestique);1880-1900;0.01;""
170667;DECT (Téléphone domestique);1880-1900;"";""
170678;DECT (Téléphone domestique);1880-1900;"";""
170686;DECT (Téléphone domestique);1880-1900;"";""
170740;DECT (Téléphone domestique);1880-1900;"";""
170753;DECT (Téléphone domestique);1880-1900;"";""
170756;DECT (Téléphone domestique);1880-1900;"";""
170780;DECT (Téléphone domestique);1880-1900;"";""
170781;DECT (Téléphone domestique);1880-1900;"";""
170783;DECT (Téléphone domestique);1880-1900;"";""
170795;DECT (Téléphone domestique);1880-1900;"";""
170818;DECT (Téléphone domestique);1880-1900;"";""
170836;DECT (Téléphone domestique);1880-1900;"";""
170838;DECT (Téléphone domestique);1880-1900;"";""
170846;DECT (Téléphone domestique);1880-1900;"";""
170871;DECT (Téléphone domestique);1880-1900;"";""
170880;DECT (Téléphone domestique);1880-1900;"";""
170881;DECT (Téléphone domestique);1880-1900;"";""
170892;DECT (Téléphone domestique);1880-1900;"";""
170912;DECT (Téléphone domestique);1880-1900;"";""
170913;DECT (Téléphone domestique);1880-1900;"";""
170918;DECT (Téléphone domestique);1880-1900;"";""
170925;DECT (Téléphone domestique);1880-1900;"";""
170929;DECT (Téléphone domestique);1880-1900;"";""
170935;DECT (Téléphone domestique);1880-1900;"";""
170939;DECT (Téléphone domestique);1880-1900;"";""
170941;DECT (Téléphone domestique);1880-1900;"";""
170947;DECT (Téléphone domestique);1880-1900;"";""
170953;DECT (Téléphone domestique);1880-1900;"";""
170970;DECT (Téléphone domestique);1880-1900;"";""
170977;DECT (Téléphone domestique);1880-1900;"";""
170986;DECT (Téléphone domestique);1880-1900;"";""
170991;DECT (Téléphone domestique);1880-1900;"";""
171006;DECT (Téléphone domestique);1880-1900;"";""
171023;DECT (Téléphone domestique);1880-1900;"";""
171026;DECT (Téléphone domestique);1880-1900;"";""
171027;DECT (Téléphone domestique);1880-1900;"";""
171028;DECT (Téléphone domestique);1880-1900;"";""
171029;DECT (Téléphone domestique);1880-1900;"";""
171035;DECT (Téléphone domestique);1880-1900;"";""
171038;DECT (Téléphone domestique);1880-1900;"";""
171042;DECT (Téléphone domestique);1880-1900;"";""
171048;DECT (Téléphone domestique);1880-1900;"";""
171051;DECT (Téléphone domestique);1880-1900;"";""
171052;DECT (Téléphone domestique);1880-1900;"";""
171054;DECT (Téléphone domestique);1880-1900;"";""
171056;DECT (Téléphone domestique);1880-1900;"";""
171058;DECT (Téléphone domestique);1880-1900;"";""
171059;DECT (Téléphone domestique);1880-1900;"";""
171062;DECT (Téléphone domestique);1880-1900;"";""
171063;DECT (Téléphone domestique);1880-1900;"";""
171066;DECT (Téléphone domestique);1880-1900;"";""
171071;DECT (Téléphone domestique);1880-1900;"";""
171072;DECT (Téléphone domestique);1880-1900;"";""
171075;DECT (Téléphone domestique);1880-1900;"";""
171083;DECT (Téléphone domestique);1880-1900;"";""
171088;DECT (Téléphone domestique);1880-1900;"";""
171092;DECT (Téléphone domestique);1880-1900;"";""
171093;DECT (Téléphone domestique);1880-1900;"";""
171095;DECT (Téléphone domestique);1880-1900;"";""
171096;DECT (Téléphone domestique);1880-1900;"";""
171101;DECT (Téléphone domestique);1880-1900;"";""
171102;DECT (Téléphone domestique);1880-1900;"";""
171108;DECT (Téléphone domestique);1880-1900;"";""
171110;DECT (Téléphone domestique);1880-1900;"";""
