Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
452029;2.09;48.86527777777778;"48°51'55.000""N 2°5'24.000""E";78372;LES DÉLICES;1 PLACE VICTORIEN SARDOU AXA ASSURANCES BÂTIMENT C;78160;MARLY LE ROI;Immeuble;33.0;Société Privée
452038;2.278611111111111;48.75805555555556;"48°45'29.000""N 2°16'43.000""E";92002;"";"6 ALLÉE D'ARZ HLM LES BAS GRAVIERS - TOUR E";92160;ANTONY;Immeuble;41.0;Société HLM
452067;2.5419444444444443;49.03944444444444;"49°2'22.000""N 2°32'31.000""E";95154;"";AIRE DE REPOS DE CHENNEVIÈRES A1 PYLÔNE SANEF;95380;CHENNEVIERES LES LOUVRES;Pylône autostable;32.0;"Sociétés d'Autoroutes"
452226;1.9427777777777777;48.63361111111111;"48°38'1.000""N 1°56'34.000""E";78125;LA VILLENEUVE;PRÈS D.72;78720;CELLE LES BORDES;"Château d'eau - réservoir";41.0;"Commune, communauté de commune"
452325;2.6152777777777776;49.050555555555555;"49°3'2.000""N 2°36'55.000""E";77323;"";CHEMIN DES VIGNETTES;77230;MOUSSY LE VIEUX;Pylône autostable;47.0;SFR
453080;2.2330555555555556;48.785;"48°47'6.000""N 2°13'59.000""E";92048;"";"9,11 R GEORGES MILLANDY";92190;MEUDON;Immeuble;55.0;Société HLM
453351;1.8497222222222223;48.904444444444444;"48°54'16.000""N 1°50'59.000""E";78380;ST JACQUES;CHEM RURAL N°44 DES LONGUES RAIES;78580;MAULE;Pylône autostable;40.0;TDF
453428;2.6919444444444443;48.948055555555555;"48°56'53.000""N 2°41'31.000""E";77118;"";R DE LA SOLIDARITÉ;77410;CLAYE SOUILLY;Pylône autostable;25.0;TOTEM
453465;2.693611111111111;48.91555555555556;"48°54'56.000""N 2°41'37.000""E";77005;LA FONTAINE ROUGE;PRÈS D. 105A;77410;ANNET SUR MARNE;Pylône tubulaire;25.0;TOTEM
453978;3.1352777777777776;48.86666666666667;"48°52'0.000""N 3°8'7.000""E";77162;LA LOGE;FERME DE LA LOGE D 19;77510;DOUE;Pylône autostable;30.0;ATC FRANCE
454000;2.8725;48.94722222222222;"48°56'50.000""N 2°52'21.000""E";77513;"";AV GAMBETTA SILO VALFRANCE;77124;VILLENOY;Silo;38.0;Société Privée
454527;2.3338888888888887;48.82222222222222;"48°49'20.000""N 2°20'2.000""E";75114;"";"8, VILLA DU PARC MONTSOURIS";75014;PARIS 14E ARRONDISSEMENT;Immeuble;28.0;Association
455391;2.4305555555555554;48.794444444444444;"48°47'40.000""N 2°25'50.000""E";94046;"";24/32 AV DE LA LIBERTÉ;94700;MAISONS ALFORT;Immeuble;41.0;Société HLM
455441;2.3455555555555554;48.82611111111111;"48°49'34.000""N 2°20'44.000""E";75113;"";210 R DE TOLBIAC;75013;PARIS 13E ARRONDISSEMENT;Immeuble;51.0;"Etat, Ministère"
455934;2.658611111111111;48.79083333333333;"48°47'27.000""N 2°39'31.000""E";77390;"";5 AV DU GÉNÉRAL LECLERC;77680;ROISSY EN BRIE;"Château d'eau - réservoir";53.0;"Commune, communauté de commune"
456888;2.798611111111111;49.029444444444444;"49°1'46.000""N 2°47'55.000""E";77437;LA FONTAINE DU SAUVOY;R DU SAUVOY;77165;SAINT SOUPPLETS;Pylône autostable;27.0;TOTEM
456932;2.8794444444444443;49.01138888888889;"49°0'41.000""N 2°52'46.000""E";77023;LA CROIX DU BORDET;D. 38;77910;BARCY;Pylône tubulaire;26.0;TOTEM
457726;2.3455555555555554;48.84388888888889;"48°50'38.000""N 2°20'44.000""E";75105;"";"15/17  R D'ULM";75005;PARIS 5E ARRONDISSEMENT;Monument religieux;32.0;Société Privée
457796;2.3869444444444445;48.825;"48°49'30.000""N 2°23'13.000""E";75113;"";12 R BRUNESEAU DIRECTION DE LA VOIRIE (DIVISION ENTRETIEN BLD PÉR;75013;PARIS 13E ARRONDISSEMENT;Bâtiment;34.0;"Etat, Ministère"
457800;1.8383333333333334;48.73583333333333;"48°44'9.000""N 1°50'18.000""E";78108;LES PLAINVAUX;CHEM RURAL N° 6 DE LA MARE COLIN;78610;BREVIAIRES;Pylône autostable;30.0;TOTEM
458850;2.222777777777778;48.72388888888889;"48°43'26.000""N 2°13'22.000""E";91477;LES MARNIÈRES;CHEM DE LA CROIX DE VILLEBOIS - LES MARINIÈRES PYLONE TDF;91120;PALAISEAU;Pylône autostable;44.0;TDF
459320;2.4469444444444446;48.915;"48°54'54.000""N 2°26'49.000""E";93029;"";11 R HENRI LANGLOIS;93700;DRANCY;Bâtiment;24.0;"Copropriété, Syndic, SCI"
459413;2.1594444444444445;48.69;"48°41'24.000""N 2°9'34.000""E";91122;"";R DE MONTJAY CIMETIERE;91440;BURES SUR YVETTE;Pylône autostable;37.0;ATC FRANCE
459529;2.4775;48.78;"48°46'48.000""N 2°28'39.000""E";94011;"";"3 ROUTE DE L'OUEST";94380;BONNEUIL SUR MARNE;Pylône tubulaire;36.0;"CCI,Ch Metiers,Port Aut,Aérop"
459535;2.9025;48.786944444444444;"48°47'13.000""N 2°54'9.000""E";77318;"";CHEMIN DES LAQUAIS SOUS LA VENTE SOQUET;77163;MORTCERF;Pylône autostable;49.0;ATC FRANCE
459743;2.1686111111111113;48.78388888888889;"48°47'2.000""N 2°10'7.000""E";78640;"";4-6 R DE LA DIVISION LECLERC RÉS MOZART - IMM N°4 ET 6;78140;VELIZY VILLACOUBLAY;Immeuble;32.0;"Copropriété, Syndic, SCI"
460412;2.124722222222222;48.788333333333334;"48°47'18.000""N 2°7'29.000""E";78646;"";RÉSÉRVOIR DE SATORY QUARTIER DU GÉNÉRAL JAYAT;78000;VERSAILLES;"Château d'eau - réservoir";40.0;"Syndicat des eaux, Adduction"
460465;2.273888888888889;48.82277777777778;"48°49'22.000""N 2°16'26.000""E";92040;"";13 B  R AUGUSTE GERVAIS;92130;ISSY LES MOULINEAUX;Immeuble;37.0;Société HLM
461488;2.5997222222222223;48.68944444444445;"48°41'22.000""N 2°35'59.000""E";77053;"";"CHEMIN DE LA PLANCHETTE CHATEAU D'EAU";77170;BRIE COMTE ROBERT;"Château d'eau - réservoir";44.2;"Commune, communauté de commune"
461720;2.0844444444444443;48.88944444444444;"48°53'22.000""N 2°5'4.000""E";78551;"";N13 AU SUD PROCHE R ROBERT FRAPPESAUCE;78100;SAINT GERMAIN EN LAYE;Pylône autostable;44.0;TDF
461724;1.7177777777777778;48.98972222222222;"48°59'23.000""N 1°43'4.000""E";78361;"";3 R CADOTTE R NATIONALE;78200;MANTES LA JOLIE;Bâtiment;23.0;Société Privée
461814;2.4522222222222223;48.7225;"48°43'21.000""N 2°27'8.000""E";94078;"";40 ALLÉE DE LA SOURCE HOPITAL;94190;VILLENEUVE SAINT GEORGES;Immeuble;54.0;Etablissement de soins
461945;2.408611111111111;48.77111111111111;"48°46'16.000""N 2°24'31.000""E";94022;"";15 R DU DR ROUX IMM LE LUGO;94600;CHOISY LE ROI;Immeuble;28.9;"Copropriété, Syndic, SCI"
461974;2.8794444444444443;48.9275;"48°55'39.000""N 2°52'46.000""E";77276;LA JUSTICE;"";77100;MAREUIL LES MEAUX;Pylône autostable;45.0;TDF
461999;2.4122222222222223;49.10166666666667;"49°6'6.000""N 2°24'44.000""E";95352;LA MONTAGNE;CHEM RURAL N°63 - VOIRIE DU MONTOIR;95270;LUZARCHES;Pylône autostable;38.0;ATC FRANCE
462685;2.323888888888889;48.621944444444445;"48°37'19.000""N 2°19'26.000""E";91570;"";16 R CONDORCET;91240;SAINT MICHEL SUR ORGE;Pylône autostable;25.0;TOTEM
463018;2.2794444444444446;48.78055555555556;"48°46'50.000""N 2°16'46.000""E";92019;"";1 ALLÉE DES AULNES HLM TOUR DE 12 ÉTAGES;92290;CHATENAY MALABRY;Immeuble;40.0;Société HLM
