Numéro de mesure;Longitude;Latitude;Position;Insee;Adresse;Complément;Code postal;Commune;Date de mesure;Mesure réalisée;Rapport;Conformité de la mesure;Niveau global;"Type d'environnement";laboratoire
176700;2.343993;48.830543;"48°49'49.955""N 2°20'38.375""E";75113;Rue de la Glacière;"";75013;PARIS 13E ARRONDISSEMENT;02/08/2022;En extérieur;RPUB_149827.pdf;Oui;1.06;Rue / Route / Parking;EXEM
176702;2.16411;48.874416;"48°52'27.898""N 2°9'50.796""E";92063;Rue Edouard Manet;"";92500;RUEIL MALMAISON;20/07/2022;En intérieur;RPUB_149817.pdf;Oui;8.64;"Lieu d'habitation";EXEM
176703;2.327242;48.989635;"48°59'22.686""N 2°19'38.071""E";95428;Rue Renaud;"";95160;MONTMORENCY;02/08/2022;En extérieur;RPUB_149821.pdf;Oui;2.98;Rue / Route / Parking;EXEM
176704;2.240136;48.967198;"48°58'1.913""N 2°14'24.490""E";95018;Rue du Grand Prieur;"";95100;ARGENTEUIL;02/08/2022;En extérieur;RPUB_149822.pdf;Oui;1.9;Rue / Route / Parking;EXEM
176706;2.16411;48.874416;"48°52'27.898""N 2°9'50.796""E";92063;Rue Edouard Manet;"";92500;RUEIL MALMAISON;20/07/2022;En intérieur;RPUB_149818.pdf;Oui;7.49;"Lieu d'habitation";EXEM
176710;2.259974;48.732041;"48°43'55.348""N 2°15'35.906""E";91377;Rue de Versailles;"";91300;MASSY;04/08/2022;En intérieur;RPUB_149865.pdf;Oui;0.0;"Lieu d'habitation";EXEM
176711;2.481488;48.809152;"48°48'32.947""N 2°28'53.357""E";94068;Avenue de Bourgogne;"";94100;SAINT MAUR DES FOSSES;03/08/2022;En extérieur;RPUB_149867.pdf;Oui;0.81;Rue / Route / Parking;EXEM
176712;2.442044;48.807517;"48°48'27.061""N 2°26'31.358""E";94046;Rue Cécile;"";94700;MAISONS ALFORT;03/08/2022;En intérieur;RPUB_149880.pdf;Oui;1.53;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
176714;2.384462;48.870318;"48°52'13.145""N 2°23'4.063""E";75120;Rue des Couronnes;"";75020;PARIS 20E ARRONDISSEMENT;03/08/2022;En intérieur;RPUB_149862.pdf;Oui;0.47;"Lieu d'habitation";EXEM
176717;2.259974;48.732041;"48°43'55.348""N 2°15'35.906""E";91377;Rue de versailles;"";91300;MASSY;04/08/2022;En intérieur;RPUB_149864.pdf;Oui;0.2;"Lieu d'habitation";EXEM
176718;2.290349;48.853153;"48°51'11.351""N 2°17'25.256""E";75115;Boulevard de Grenelle;"";75015;PARIS 15E ARRONDISSEMENT;03/08/2022;En extérieur;RPUB_149874.pdf;Oui;1.77;Rue / Route / Parking;EXEM
176724;2.473007;48.810767;"48°48'38.761""N 2°28'22.825""E";94068;Avenue Marinville;"";94100;SAINT MAUR DES FOSSES;03/08/2022;En intérieur;RPUB_149885.pdf;Oui;4.98;"Lieu d'habitation";EXEM
176731;2.328801;48.846982;"48°50'49.135""N 2°19'43.684""E";75106;Rue de Fleurus;"";75006;PARIS 6E ARRONDISSEMENT;04/08/2022;En extérieur;RPUB_149884.pdf;Oui;5.57;"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";EXEM
176734;2.441568;48.805578;"48°48'20.081""N 2°26'29.645""E";94046;Avenue du Général Leclerc;"";94700;MAISONS ALFORT;03/08/2022;En extérieur;RPUB_149866.pdf;Oui;1.83;Rue / Route / Parking;EXEM
176735;2.372811;48.876606;"48°52'35.782""N 2°22'22.120""E";75119;Rue Henri Turot;"";75019;PARIS 19E ARRONDISSEMENT;05/08/2022;En intérieur;RPUB_149887.pdf;Oui;0.17;"Lieu d'habitation";EXEM
176742;2.469774;48.80323;"48°48'11.628""N 2°28'11.186""E";94068;Quai du Port de Créteil;"";94100;SAINT MAUR DES FOSSES;03/08/2022;En extérieur;RPUB_149891.pdf;Oui;1.24;Rue / Route / Parking;EXEM
176744;2.325647;48.856308;"48°51'22.709""N 2°19'32.329""E";75107;Boulevard Saint-Germain;"";75007;PARIS 7E ARRONDISSEMENT;04/08/2022;En extérieur;RPUB_149901.pdf;Oui;1.67;Rue / Route / Parking;EXEM
176746;2.289877;48.873459;"48°52'24.452""N 2°17'23.557""E";75116;Avenue Foch;"";75016;PARIS 16E ARRONDISSEMENT;04/08/2022;En extérieur;RPUB_149900.pdf;Oui;1.37;Rue / Route / Parking;EXEM
176755;2.456388;48.852073;"48°51'7.463""N 2°27'22.997""E";94033;Avenue de la Republique;"";94120;FONTENAY SOUS BOIS;04/08/2022;En extérieur;RPUB_149916.pdf;Oui;0.96;Rue / Route / Parking;EXEM
176765;2.285607;48.860155;"48°51'36.558""N 2°17'8.185""E";75116;Rue Benjamin Francklin;"";75016;PARIS 16E ARRONDISSEMENT;04/08/2022;En extérieur;RPUB_149899.pdf;Oui;1.23;Rue / Route / Parking;EXEM
176774;2.605713;48.84182;"48°50'30.552""N 2°36'20.567""E";77083;Place Pablo Picasso;"";77420;CHAMPS SUR MARNE;05/08/2022;En extérieur;RPUB_149917.pdf;Oui;1.03;Divers;EXEM
176775;2.395577;48.888713;"48°53'19.367""N 2°23'44.077""E";75119;Boulevard Sérurier;"";75019;PARIS 19E ARRONDISSEMENT;05/08/2022;En extérieur;RPUB_149928.pdf;Oui;1.16;Rue / Route / Parking;EXEM
176780;2.62189;48.936693;"48°56'12.095""N 2°37'18.804""E";77514;Route de Vallevaude;"";77270;VILLEPARISIS;05/08/2022;En extérieur;RPUB_149927.pdf;Oui;2.04;Rue / Route / Parking;EXEM
176814;2.608996;48.944455;"48°56'40.038""N 2°36'32.386""E";77514;Avenue du Général de Gaulle;"";77270;VILLEPARISIS;05/08/2022;En extérieur;RPUB_149948.pdf;Oui;3.35;Rue / Route / Parking;EXEM
177018;2.357127;48.874906;"48°52'29.662""N 2°21'25.657""E";75110;Boulevard Magenta;"";75010;PARIS 10E ARRONDISSEMENT;16/08/2022;En extérieur;RPUB_150162.pdf;Oui;4.19;Rue / Route / Parking;EXEM
