Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
740226;-0.48305555555555557;48.39194444444445;"48°23'31.000""N 0°28'59.000""W";53116;LA MAISON NEUVE;D.157;53640;HORPS;Pylône autostable;40.0;TOTEM
744165;-1.1508333333333334;47.87222222222222;"47°52'20.000""N 1°9'3.000""W";53242;LA METAIRIE;"";53350;SAINT MICHEL DE LA ROE;Pylône autostable;48.0;TOTEM
749764;-1.9666666666666668;48.12277777777778;"48°7'22.000""N 1°58'0.000""W";35188;LE HAUT BEAUMONT;D.72 - RTE DE GAËL LE CLOS BERHAULT;35160;MONTFORT SUR MEU;Pylône autostable;44.0;TOTEM
749766;-1.738888888888889;48.21055555555556;"48°12'38.000""N 1°44'20.000""W";35177;LES CARREAUX;"";35520;MEZIERE;Pylône autostable;30.0;TOTEM
749768;-1.7149999999999999;48.04527777777778;"48°2'43.000""N 1°42'54.000""W";35066;"";R GUSTAVE EIFFEL;35131;CHARTRES DE BRETAGNE;Pylône autostable;30.0;TOTEM
749770;-1.6516666666666668;48.08694444444444;"48°5'13.000""N 1°39'6.000""W";35238;"";3 PL DE PRAGUE;35000;RENNES;Immeuble;53.0;Société HLM
749778;-1.7083333333333335;48.217777777777776;"48°13'4.000""N 1°42'30.000""W";35173;LA HAUTE RIVIERE;STADE DE FOOTBALL;35520;MELESSE;Pylône autostable;29.0;TOTEM
749780;-1.5397222222222222;48.05888888888889;"48°3'32.000""N 1°32'23.000""W";35099;LES NOES;"";35410;DOMLOUP;Pylône autostable;37.9;TOTEM
749804;-1.6783333333333332;48.11555555555555;"48°6'56.000""N 1°40'42.000""W";35238;"";15 IMP DES CARMÉLITES;35000;RENNES;Immeuble;31.0;"Copropriété, Syndic, SCI"
749812;-1.801111111111111;48.15638888888889;"48°9'23.000""N 1°48'4.000""W";35210;POUEZ;"";35740;PACE;Pylône autostable;32.0;TOTEM
749814;-1.8833333333333333;48.13805555555555;"48°8'17.000""N 1°53'0.000""W";35275;LA LANDELLE;"";35590;SAINT GILLES;Pylône autostable;31.0;TOTEM
